H/V,320,368,416,464,512,560,608,656,704,752,800
400,0,14.5333,30.929,48.254,66.32,85.745,107.306,132.647,165.833,215.769,325.131
1010,70.0676,82.0267,98.6548,110.768,127.32,146.745,169.552,195.716,229.503,279.262,337.769
1620,142.869,151.973,169.098,177.252,190.84,209.829,233.648,260.768,294.455,342.618,401.262
2230,218.034,223.942,241.223,247.602,257.546,275.607,300.313,328.172,361.283,407.03,464.618
2840,295.344,297.66,314.668,321.956,327.414,343.917,369.462,397.945,431.07,474.146,529.03
3450,374.721,373.029,389.313,399.434,400.649,414.859,440.889,470.223,503.949,545.466,596.146
4060,456.329,450.265,465.464,477.96,477.759,488.942,514.873,545.15,579.57,620.701,667.466
4670,540.11,529.273,542.974,557.318,559.122,566.363,591.474,622.719,657.804,699.051,742.701
5280,626.025,609.972,621.716,637.322,644.398,647.434,670.838,703.175,739.028,779.804,821.051
5890,714.167,692.461,701.805,718.131,729.657,732.772,753.481,786.354,823.14,861.028,901.804
6500,804.576,776.754,783.237,799.727,814.884,823.07,839.882,872.287,908.354,945.14,983.028
